,year,fuel_type,statistic,autobahn_coef,standard_error,p_value,ci_low,ci_high,n_observed
0,2014,diesel,mean,0.043297415195750935,0.001646579974117379,0.0,0.040070167375164376,0.046524663016337495,377130
1,2015,diesel,mean,0.05110643830924208,0.0019834201048376412,0.0,0.047218999467472,0.05499387715101216,685629
2,2016,diesel,mean,0.06819265525861042,0.0027505665535970626,0.0,0.06280163464111257,0.07358367587610826,707278
3,2017,diesel,mean,0.08087253068402155,0.003013200998028388,0.0,0.07496675525649742,0.08677830611154567,716043
4,2018,diesel,mean,0.12131756089193863,0.0037771863269150698,0.0,0.1139143992789988,0.12872072250487845,720505
5,2019,diesel,mean,0.15738220944987752,0.005040344906128086,0.0,0.1475032981359456,0.16726112076380945,711279
6,2020,diesel,mean,0.18117543215222703,0.006328085131554181,0.0,0.16877259108369905,0.19357827322075502,679417
7,2021,diesel,mean,0.1930570124059221,0.006648085441169729,0.0,0.18002698070514686,0.20608704410669734,667035
8,2022,diesel,mean,0.18488763448319703,0.006655118971385529,0.0,0.1718438171062486,0.19793145186014546,661864
9,2023,diesel,mean,0.2409350009322464,0.008871925604203338,0.0,0.22354631399761488,0.2583236878668779,652809
10,2024,diesel,mean,0.27153458422430293,0.011662533192747786,0.0,0.24867639593499608,0.2943927725136098,640245
11,2025,diesel,mean,0.28760182232572556,0.012839257032207774,0.0,0.2624372926875072,0.3127663519639439,631782
12,2026,diesel,mean,0.2848665079152564,0.013849981680623643,0.0,0.2577207215811855,0.31201229424932736,102777
13,2014,diesel,median,0.04759988764663282,0.0019371314203745023,0.0,0.043803167625217264,0.05139660766804837,377130
14,2015,diesel,median,0.05404246262258016,0.002131731134145662,0.0,0.049864338991143654,0.05822058625401667,685629
15,2016,diesel,median,0.06920284319853154,0.0028395602837370006,0.0,0.06363739777630209,0.07476828862076099,707278
16,2017,diesel,median,0.08353967906561689,0.0031915942125777695,0.0,0.07728425877085286,0.08979509936038092,716043
17,2018,diesel,median,0.12187168322342369,0.0038297077659068196,0.0,0.11436558130853755,0.12937778513830983,720505
18,2019,diesel,median,0.15833857711171664,0.005095909862358782,0.0,0.1483507602992546,0.1683263939241787,711279
19,2020,diesel,median,0.18389591174254896,0.006432288030084908,0.0,0.17128883638157885,0.19650298710351907,679417
20,2021,diesel,median,0.19477140623089964,0.006719532101484279,0.0,0.1816013413947125,0.20794147106708677,667035
21,2022,diesel,median,0.19059441011558534,0.006852213008808652,0.0,0.17716429481649815,0.20402452541467253,661864
22,2023,diesel,median,0.24625142276869286,0.009075348732108607,0.0,0.22846403308967264,0.2640388124477131,652809
23,2024,diesel,median,0.27419338732306087,0.011788274758278566,0.0,0.2510887496275065,0.29729802501861524,640245
24,2025,diesel,median,0.2914285376062823,0.013025823692130461,0.0,0.2658983433325363,0.31695873188002827,631782
25,2026,diesel,median,0.29050746122367993,0.014140423411980439,0.0,0.2627924128238736,0.31822250962348625,102777
26,2014,e5,mean,0.03973777619634664,0.0014505364462177517,0.0,0.03689476744871805,0.042580784943975235,360727
27,2015,e5,mean,0.048677354813357984,0.001901634328511135,0.0,0.04495021303521735,0.052404496591498616,646816
28,2016,e5,mean,0.06437356024215149,0.0025726144592950755,0.0,0.05933131964915381,0.06941580083514917,685955
29,2017,e5,mean,0.07835799936983856,0.0028908631894835513,0.0,0.07269200184676276,0.08402399689291436,701428
30,2018,e5,mean,0.10535410426207305,0.003196386983045066,0.0,0.09908929009117834,0.11161891843296776,702620
31,2019,e5,mean,0.145661102558843,0.004630362148560914,0.0,0.1365857436568868,0.15473646146079917,693535
32,2020,e5,mean,0.16927823081265805,0.005912355277983398,0.0,0.15769020620800045,0.18086625541731566,662460
