day,diesel_median_last,diesel_mean_last,e5_median_last,e5_mean_last,e10_median_last,e10_mean_last,n_stations_seen
2023-12-31,1.729,1.740108116883117,1.819,1.8218123969666995,1.759,1.763334794335806,3080
2024-01-01,1.689,1.691236766966835,1.769,1.7758042375410326,1.709,1.7173343099460294,13662
2024-01-02,1.679,1.6894388655462187,1.769,1.7806235083958557,1.719,1.7225073076637731,14281
2024-01-03,1.689,1.6957023184142328,1.779,1.7874021148899686,1.719,1.7292012592592594,14278
2024-01-04,1.689,1.6924908629083468,1.779,1.7840774820143885,1.719,1.7257635251100665,14174
2024-01-05,1.689,1.6953932674325407,1.779,1.7879554736051355,1.719,1.7302973744292238,14975
2024-01-06,1.689,1.6968621532269657,1.779,1.7880629488494797,1.719,1.7293968771318124,13915
2024-01-07,1.699,1.7009121271785896,1.779,1.789595478881618,1.729,1.731049404533231,13714
2024-01-08,1.689,1.6916243296641265,1.779,1.7839747354782982,1.719,1.7254648959188241,14173
2024-01-09,1.679,1.6852591889802515,1.759,1.7682410579886747,1.699,1.7098377192982457,14231
2024-01-10,1.679,1.6843992805755397,1.759,1.7699661126699762,1.709,1.711594882888259,14179
2024-01-11,1.669,1.6794212159684017,1.759,1.7655621042026484,1.699,1.7071442322041488,14180
2024-01-12,1.679,1.691375140213124,1.759,1.7737955097955098,1.709,1.7154601468080373,14266
2024-01-13,1.689,1.6974944873997708,1.769,1.7799632953882076,1.719,1.7213608971454464,13970
2024-01-14,1.699,1.7036859540313753,1.779,1.7849958339532808,1.719,1.7262644640799079,13706
2024-01-15,1.679,1.6882905434015527,1.759,1.7707154582763338,1.699,1.7121724652829624,14172
2024-01-16,1.679,1.6832265283072145,1.759,1.7664951386388188,1.699,1.7080610812425328,14166
2024-01-17,1.669,1.6796094233473982,1.759,1.7651273953922344,1.699,1.7067186476020255,14221
2024-01-18,1.679,1.6885884201704149,1.759,1.7741460337823391,1.709,1.7158490538143112,14319
2024-01-19,1.689,1.6917638496325609,1.769,1.7785994234234233,1.709,1.7200471669905817,14152
2024-01-20,1.689,1.6945660646727103,1.779,1.7815836184929013,1.719,1.7228959228276433,14009
2024-01-21,1.689,1.6992283091717055,1.779,1.7843725300846827,1.719,1.7257439146126086,13727
2024-01-22,1.679,1.6840795911173776,1.759,1.7704571284707236,1.709,1.7119366323331842,14187
2024-01-23,1.679,1.6871422927689597,1.769,1.7770051090163346,1.709,1.7184967515495482,14175
2024-01-24,1.679,1.6862546837582757,1.769,1.776252101444069,1.709,1.7177418368868347,14199
2024-01-25,1.679,1.6872262825017568,1.769,1.775122328983221,1.709,1.7165307245945545,14230
